Name,Age,City
Alice,30,New York

"Труба Uponor Radi PіPе 25х3,5 (50 м)",м,300,"38,41"
Захисна оболонка 29-34 синя,м,2063,"4,00"
"Труба Uponor Radi PіPе 20х2,8",м,104,"22,93"
Захисна оболонка 24-28 синя,шт,204,"3,00"
Uponor Гільза 25,шт,1653,"5,530"
Uponor Гільза 20,шт,1000,"4,15"
Трійник Uponor PPSU 25х25х25,шт,7,"58,02"
Трійник Uponor PPSU 25х25х20,шт,216,"58,020"
Трійник Uponor PPSU 25х20х25,шт,104,"58,02"
"Uponor Водорозетка під настінну коробку  SP 25х3/4"" ВР",шт,180,"229,920"
Uponor Smart Aqua Настінний короб,шт,180,"21,860"
Uponor Smart Aqua Монтажна планка кутова одинарна,шт,180,"92,73"
Uponor Заглушка 20,шт,150,"14,370"
Трійник Uponor PPSU 20х20х20,шт,5,"36,750"
Трійник Uponor PPSU 25х20х20,шт,1,"58,02"
"Uponor Штуцер із внутр.різьбою  25х3/4""",шт,90,"120,470"
